name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
Stephen Curry,Golden State Warriors,08/12/2015,2015,3975,1610612744,400828201,1,10,43,1,Alley Oop Layup shot,2PT Field Goal,2.2,Indiana Pacers,1,-5,0,0.4,"Hill, George",1.5,11.7
Stephen Curry,Golden State Warriors,06/12/2015,2015,3975,1610612744,400828187,1,2,44,1,Cutting Finger Roll Layup Shot,2PT Field Goal,3.2,Brooklyn Nets,25,7,0,0.7,"Larkin, Shane",5.7,19.1
Stephen Curry,Golden State Warriors,27/10/2015,2015,3975,1610612744,400827890,3,7,35,1,Cutting Finger Roll Layup Shot,2PT Field Goal,1.1,New Orleans Pelicans,-7,13,0,0,"Smith, Ish",4.3,17
Stephen Curry,Golden State Warriors,27/10/2015,2015,3975,1610612744,400827890,1,10,56,1,Cutting Finger Roll Layup Shot,2PT Field Goal,1.7,New Orleans Pelicans,12,31,0,0.5,"Perkins, Kendrick",1.1,4.9
Stephen Curry,Golden State Warriors,12/12/2015,2015,3975,1610612744,400828238,4,4,11,1,Cutting Layup Shot,2PT Field Goal,3.6,Milwaukee Bucks,-2,2,9,5.3,"Monroe, Greg",6.3,17.8
Stephen Curry,Golden State Warriors,30/10/2015,2015,3975,1610612744,400827917,4,5,12,1,Cutting Layup Shot,2PT Field Goal,8.3,Houston Rockets,-25,13,0,0.4,"Harden, James",6.5,18.2
Stephen Curry,Golden State Warriors,27/11/2015,2015,3975,1610612744,400828123,3,6,20,1,Cutting Layup Shot,2PT Field Goal,5.4,Phoenix Suns,2,21,0,0.5,"Leuer, Jon",2,16.9
Stephen Curry,Golden State Warriors,08/12/2015,2015,3975,1610612744,400828201,1,8,49,1,Cutting Layup Shot,2PT Field Goal,3.5,Indiana Pacers,9,8,0,1,"Hill, George",1.2,17.6
Stephen Curry,Golden State Warriors,25/12/2015,2015,3975,1610612744,400828325,1,3,14,1,Cutting Layup Shot,2PT Field Goal,3,Cleveland Cavaliers,4,7,0,0.7,"Dellavedova, Matthew",3.1,24
Stephen Curry,Golden State Warriors,16/12/2015,2015,3975,1610612744,400828268,3,6,3,1,Cutting Layup Shot,2PT Field Goal,2.8,Phoenix Suns,0,26,0,0.7,"Teletovic, Mirza",7.8,20.1
Stephen Curry,Golden State Warriors,09/01/2016,2015,3975,1610612744,400828443,2,3,23,1,Cutting Layup Shot,2PT Field Goal,0.7,Sacramento Kings,24,21,0,0.5,"Rondo, Rajon",3.1,15.7
Stephen Curry,Golden State Warriors,08/01/2016,2015,3975,1610612744,400828435,1,5,5,1,Cutting Layup Shot,2PT Field Goal,3.9,Portland Trail Blazers,19,2,0,0.4,"Vonleh, Noah",2.2,19.6
Stephen Curry,Golden State Warriors,31/10/2015,2015,3975,1610612744,400827922,1,0,53,0,Driving Bank shot,2PT Field Goal,12,New Orleans Pelicans,-80,89,1,1.4,"Smith, Ish",2.1,15
Stephen Curry,Golden State Warriors,11/11/2015,2015,3975,1610612744,400828007,3,2,26,1,Driving Bank shot,3PT Field Goal,28.1,Memphis Grizzlies,-89,272,5,5.6,"Smith, Russ",4,19.6
Stephen Curry,Golden State Warriors,19/11/2015,2015,3975,1610612744,400828064,3,2,47,1,Driving Bank shot,2PT Field Goal,0.8,Los Angeles Clippers,28,13,1,4.6,"Smith, Josh",1.2,24
Stephen Curry,Golden State Warriors,06/12/2015,2015,3975,1610612744,400828187,3,2,10,1,Driving Bank shot,2PT Field Goal,8.8,Brooklyn Nets,66,56,3,2.9,"Jack, Jarrett",3.3,20.5
Stephen Curry,Golden State Warriors,14/11/2015,2015,3975,1610612744,400828031,5,2,5,1,Driving Dunk Shot,2PT Field Goal,3,Brooklyn Nets,0,1,2,1.7,"Jack, Jarrett",5.4,5.7
Stephen Curry,Golden State Warriors,27/10/2015,2015,3975,1610612744,400827890,1,2,45,1,Driving Finger Roll Layup Shot,2PT Field Goal,3.7,New Orleans Pelicans,-19,21,2,3.9,"Ajinca, Alexis",3.7,14.5
Stephen Curry,Golden State Warriors,27/10/2015,2015,3975,1610612744,400827890,3,10,7,1,Driving Finger Roll Layup Shot,2PT Field Goal,2.6,New Orleans Pelicans,10,11,0,2.5,"Perkins, Kendrick",3.4,14.3
Stephen Curry,Golden State Warriors,08/12/2015,2015,3975,1610612744,400828201,1,2,18,1,Driving Finger Roll Layup Shot,2PT Field Goal,3.3,Indiana Pacers,14,2,2,2.8,"Hill, Jordan",1.7,15.8
Stephen Curry,Golden State Warriors,17/11/2015,2015,3975,1610612744,400828051,2,3,57,1,Driving Finger Roll Layup Shot,2PT Field Goal,4.5,Toronto Raptors,10,8,8,7.3,"Valanciunas, Jonas",4.5,17.5
Stephen Curry,Golden State Warriors,25/12/2015,2015,3975,1610612744,400828325,4,1,19,1,Driving Finger Roll Layup Shot,2PT Field Goal,5.1,Cleveland Cavaliers,4,11,12,11.2,"James, LeBron",1.6,10.7
Stephen Curry,Golden State Warriors,22/11/2015,2015,3975,1610612744,400828087,1,10,27,1,Driving Finger Roll Layup Shot,2PT Field Goal,4.4,Denver Nuggets,0,8,2,2.1,"Jokic, Nikola",2.3,11
Stephen Curry,Golden State Warriors,11/12/2015,2015,3975,1610612744,400828223,4,8,28,1,Driving Finger Roll Layup Shot,2PT Field Goal,5.3,Boston Celtics,9,2,0,2,"Olynyk, Kelly",2.1,4.4
Stephen Curry,Golden State Warriors,25/12/2015,2015,3975,1610612744,400828325,4,0,57,1,Driving Finger Roll Layup Shot,2PT Field Goal,4.6,Cleveland Cavaliers,1,21,10,8.5,"Dellavedova, Matthew",0.4,14.3
Stephen Curry,Golden State Warriors,11/12/2015,2015,3975,1610612744,400828223,5,0,53,1,Driving Finger Roll Layup Shot,2PT Field Goal,3.3,Boston Celtics,10,2,2,2.4,"Olynyk, Kelly",1.8,14.2
Stephen Curry,Golden State Warriors,06/12/2015,2015,3975,1610612744,400828187,4,4,46,0,Driving Finger Roll Layup Shot,2PT Field Goal,4.8,Brooklyn Nets,-24,-10,9,11.1,"Lopez, Brook",6,11.2
Stephen Curry,Golden State Warriors,08/12/2015,2015,3975,1610612744,400828201,4,0,35,1,Driving Finger Roll Layup Shot,2PT Field Goal,6,Indiana Pacers,-34,7,5,3.8,"Ellis, Monta",1.2,13.9
Stephen Curry,Golden State Warriors,22/11/2015,2015,3975,1610612744,400828087,2,1,43,0,Driving Finger Roll Layup Shot,2PT Field Goal,3.8,Denver Nuggets,6,0,7,8.1,"Gallinari, Danilo",1.6,15.7
Stephen Curry,Golden State Warriors,24/11/2015,2015,3975,1610612744,400828101,3,0,32,1,Driving Finger Roll Layup Shot,2PT Field Goal,5,Los Angeles Lakers,10,7,3,2.4,"Young, Nick",4.6,24
Stephen Curry,Golden State Warriors,17/11/2015,2015,3975,1610612744,400828051,3,5,56,1,Driving Finger Roll Layup Shot,2PT Field Goal,1.6,Toronto Raptors,-19,16,7,6.5,"Carroll, DeMarre",1.6,9.8
Stephen Curry,Golden State Warriors,24/11/2015,2015,3975,1610612744,400828101,1,3,44,1,Driving Finger Roll Layup Shot,2PT Field Goal,4.4,Los Angeles Lakers,-6,11,4,3.5,"Clarkson, Jordan",5.7,19.5
Stephen Curry,Golden State Warriors,11/12/2015,2015,3975,1610612744,400828223,4,4,48,0,Driving Finger Roll Layup Shot,2PT Field Goal,6.8,Boston Celtics,-20,13,8,6.2,"Olynyk, Kelly",3.2,16.4
Stephen Curry,Golden State Warriors,25/12/2015,2015,3975,1610612744,400828325,3,7,7,1,Driving Finger Roll Layup Shot,2PT Field Goal,4,Cleveland Cavaliers,-12,21,11,7.6,"Mozgov, Timofey",3.6,15.6
Stephen Curry,Golden State Warriors,18/12/2015,2015,3975,1610612744,400828284,1,8,52,1,Driving Finger Roll Layup Shot,2PT Field Goal,3.1,Milwaukee Bucks,-22,11,8,6.6,"Monroe, Greg",2.7,16.2
